                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 5 30 2016                              
                              UCC -d -dir ./src ../UCC_old/src -ascii                              

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
 Total_CC1 Total_CC2 Total_CC3 Average_CC1  Risk        |   Name
         3            3            3   Low         void CPascalCounter::FoundSLOC                                 |   ../UCC_old/src/CPascalCounter.cpp
         8            8            8   Low         int CPascalCounter::ParseFunctionName                          |   ../UCC_old/src/CPascalCounter.cpp
        40           56           40   High        int CPascalCounter::CountComplexity                            |   ../UCC_old/src/CPascalCounter.cpp
         1            1            1   Low         CPerlCounter::CPerlCounter                                     |   ../UCC_old/src/CPerlCounter.cpp
         8           13            8   Low         int CPerlCounter::PreCountProcess                              |   ../UCC_old/src/CPerlCounter.cpp
        12           24           12   Medium      int CPerlCounter::ReplaceQuote                                 |   ../UCC_old/src/CPerlCounter.cpp
        13           14           13   Medium      int CPerlCounter::CountDirectiveSLOC                           |   ../UCC_old/src/CPerlCounter.cpp
         8            8            8   Low         int CPerlCounter::LanguageSpecificProcess                      |   ../UCC_old/src/CPerlCounter.cpp
        80          105           80   Very High   void CPerlCounter::LSLOC                                       |   ../UCC_old/src/CPerlCounter.cpp
        16           22           16   Medium      int CPerlCounter::ParseFunctionName                            |   ../UCC_old/src/CPerlCounter.cpp
         1            1            1   Low         CPhpCounter::CPhpCounter                                       |   ../UCC_old/src/CPhpCounter.cpp
        14           16           14   Medium      int CPhpCounter::CountDirectiveSLOC                            |   ../UCC_old/src/CPhpCounter.cpp
         4            4            4   Low         int CPhpCounter::LanguageSpecificProcess                       |   ../UCC_old/src/CPhpCounter.cpp
        73          105           68   Very High   void CPhpCounter::LSLOC                                        |   ../UCC_old/src/CPhpCounter.cpp
        16           22           16   Medium      int CPhpCounter::ParseFunctionName                             |   ../UCC_old/src/CPhpCounter.cpp
